product_id,name,description,price,stock
42,Access Point Max 42,Produk berkualitas tinggi dengan spesifikasi canggih untuk kebutuhan profesional,9924.48,395
44,Adapter Basic 44,Produk berkualitas tinggi dengan spesifikasi terbaik untuk kebutuhan profesional,3156.85,433
10,Adapter Premium 10,Produk berkualitas tinggi dengan spesifikasi standar untuk kebutuhan kantor,13482.46,497
14,Camera Mega 14,Produk berkualitas tinggi dengan spesifikasi profesional untuk kebutuhan multimedia,1701.99,193
27,Card Reader Super 27,Produk berkualitas tinggi dengan spesifikasi standar untuk kebutuhan kantor,13501.94,375
50,Card Reader Ultra 50,Produk berkualitas tinggi dengan spesifikasi unggulan untuk kebutuhan gaming,10943.41,383
12,Docking Station Advanced 12,Produk berkualitas tinggi dengan spesifikasi standar untuk kebutuhan profesional,8889.70,222
48,Drone Plus 48,Produk berkualitas tinggi dengan spesifikasi unggulan untuk kebutuhan bisnis,10863.68,384
31,Earbuds Pro 31,Produk berkualitas tinggi dengan spesifikasi modern untuk kebutuhan rumah,5750.83,187
46,Flash Pro 46,Produk berkualitas tinggi dengan spesifikasi standar untuk kebutuhan kantor,5681.90,76
1,Flash Super 1,Produk berkualitas tinggi dengan spesifikasi profesional untuk kebutuhan desain,7326.10,160
13,Gaming Chair Mini 13,Produk berkualitas tinggi dengan spesifikasi canggih untuk kebutuhan gaming,9557.82,450
24,Gimbal Max 24,Produk berkualitas tinggi dengan spesifikasi modern untuk kebutuhan profesional,1361.23,223
5,HDD Lite 5,Produk berkualitas tinggi dengan spesifikasi modern untuk kebutuhan profesional,8305.96,370
49,Headset Essential 49,Produk berkualitas tinggi dengan spesifikasi terbaik untuk kebutuhan kantor,5700.86,220
38,Keyboard Turbo 38,Produk berkualitas tinggi dengan spesifikasi ekonomis untuk kebutuhan rumah,4881.62,225
17,Laptop Advanced 17,Produk berkualitas tinggi dengan spesifikasi terbaik untuk kebutuhan edukasi,12495.22,174
41,Laptop Elite 41,Produk berkualitas tinggi dengan spesifikasi terbaik untuk kebutuhan rumah,13735.31,198
6,Lens Advanced 6,Produk berkualitas tinggi dengan spesifikasi profesional untuk kebutuhan bisnis,7525.39,457
47,Memory Card Mini 47,Produk berkualitas tinggi dengan spesifikasi modern untuk kebutuhan rumah,7558.78,368
